Namespace,Deployment,Container,CPU usage,Memory usage,Disk read,Disk write,Network in,Network out,Time
platform,N/A,N/A,0,31756288,0,0,13563.801065054695,26079.854454832166,16:55:03
robot-shop1,N/A,N/A,0.0012852863690497927,35815424,0,0,2264.136559496188,1247.3980775604905,16:55:03
platform,N/A,N/A,0,31756288,0,0,13563.801065054695,26079.854454832166,16:55:03
robot-shop1,N/A,N/A,0.0012852863690497927,35815424,0,0,2264.136559496188,1247.3980775604905,16:55:03
platform,N/A,N/A,0,31756288,0,0,13563.801065054695,26079.854454832166,16:55:03
robot-shop1,N/A,N/A,0.0012852863690497927,35815424,0,0,2264.136559496188,1247.3980775604905,16:55:03
robot-shop1,N/A,N/A,0.0012852863690497927,35815424,0,0,2264.136559496188,1247.3980775604905,16:55:03
robot-shop1,N/A,N/A,0.0012852863690497927,35815424,0,0,2264.136559496188,1247.3980775604905,16:55:03
robot-shop1,N/A,N/A,0.0012852863690497927,35815424,0,0,2264.136559496188,1247.3980775604905,16:55:03
platform,N/A,N/A,0,31756288,0,0,13563.801065054695,26079.854454832166,16:55:03
chaos-testing,N/A,chaos-daemon,0.000021174494346897043,67321856,0,0,N/A,N/A,16:56:03
chaos-testing,N/A,chaos-dashboard,0.0014537078114868149,333266944,0,0,N/A,N/A,16:56:03
chaos-testing,N/A,chaos-mesh,0.0031771984093303587,44453888,0,0,N/A,N/A,16:56:03
platform,N/A,clickhouse,0.2894129455668743,1050058752,0,1194249.3887530563,N/A,N/A,16:56:03
observability,N/A,config-reloader,0,6459392,0,0,N/A,N/A,16:56:03
observability,N/A,grafana-sc-datasources,0.000005316096934703833,92618752,0,0,N/A,N/A,16:56:03
kube-system,N/A,hostpath-provisioner,0.001339552238805897,35586048,0,0,N/A,N/A,16:56:03
observability,N/A,kube-state-metrics,0.0010311605942573171,45318144,0,0,N/A,N/A,16:56:03
observability,N/A,loki,0.003813003216122666,96993280,0,4332.049239947227,N/A,N/A,16:56:03
kube-system,N/A,metrics-server,0.0016395938103378046,57122816,0,0,N/A,N/A,16:56:03
robot-shop1,N/A,mongodb,0.011705642556369194,193298432,0,0,N/A,N/A,16:56:03
platform,N/A,my-release-clickhouse-operator,0.0001690549779900497,16596992,N/A,N/A,N/A,N/A,16:56:03
platform,N/A,my-release-signoz-alertmanager,0.0005764866080428221,14835712,N/A,N/A,N/A,N/A,16:56:03
platform,N/A,my-release-signoz-otel-collector,0.005028432718755906,120238080,N/A,N/A,N/A,N/A,16:56:03
platform,N/A,my-release-signoz-query-service,0.00007527312190211963,20455424,0,0,N/A,N/A,16:56:03
robot-shop1,N/A,rabbitmq,0.0030131965262540296,109424640,0,0,N/A,N/A,16:56:03
robot-shop1,N/A,ratings,0.0005248266465691049,81850368,0,0,N/A,N/A,16:56:03
robot-shop1,N/A,shipping,0.0005519957502532984,556548096,0,333.1777852878225,N/A,N/A,16:56:03
robot-shop1,N/A,web,0.028629971186440027,12136448,0,0,N/A,N/A,16:56:03
platform,N/A,N/A,0.00014972885944290398,31801344,0,0,18225.8152087255,112209.64483599701,16:56:03
kube-system,N/A,N/A,0.0010925987979079437,57208832,0,0,69.23087976656807,19.37904708609801,16:56:03
observability,N/A,N/A,0.0008194308242615901,45817856,0,412.2918383508859,N/A,N/A,16:56:03
chaos-testing,N/A,N/A,0.00034906697363526555,67805184,0,0,N/A,N/A,16:56:03
platform,N/A,N/A,0.00014972885944290398,31801344,0,0,18225.8152087255,112209.64483599701,16:56:03
platform,N/A,N/A,0.00014972885944290398,31801344,0,0,18225.8152087255,112209.64483599701,16:56:03
kube-system,N/A,N/A,0.0010925987979079437,57208832,0,0,69.23087976656807,19.37904708609801,16:56:03
robot-shop1,N/A,N/A,0,35983360,0,0,23620.459149223498,17943.28156650912,16:56:03
chaos-testing,N/A,N/A,0.00034906697363526555,67805184,0,0,N/A,N/A,16:56:03
robot-shop1,N/A,N/A,0,35983360,0,0,23620.459149223498,17943.28156650912,16:56:03
kube-system,N/A,N/A,0.0010925987979079437,57208832,0,0,69.23087976656807,19.37904708609801,16:56:03
observability,N/A,N/A,0.0008194308242615901,45817856,0,412.2918383508859,N/A,N/A,16:56:03
observability,N/A,N/A,0.0008194308242615901,45817856,0,412.2918383508859,N/A,N/A,16:56:03
robot-shop1,N/A,N/A,0,35983360,0,0,23620.459149223498,17943.28156650912,16:56:03
robot-shop1,N/A,N/A,0,35983360,0,0,23620.459149223498,17943.28156650912,16:56:03
robot-shop1,N/A,N/A,0,35983360,0,0,23620.459149223498,17943.28156650912,16:56:03
platform,N/A,N/A,0.00014972885944290398,31801344,0,0,18225.8152087255,112209.64483599701,16:56:03
observability,N/A,alertmanager,0.00007818417019440697,40792064,0,0,N/A,N/A,16:57:04
kube-system,N/A,calico-kube-controllers,0.0009725319131418979,56700928,0,0,N/A,N/A,16:57:04
chaos-testing,N/A,chaos-mesh,0.0001900707582788523,45522944,0,0,N/A,N/A,16:57:04
chaos-testing,N/A,chaos-mesh,0.0001900707582788523,45522944,0,0,N/A,N/A,16:57:04
chaos-testing,N/A,chaos-mesh,0.0001900707582788523,45522944,0,0,N/A,N/A,16:57:04
observability,N/A,config-reloader,0.00005419101973540667,6422528,0,110.06930678659272,N/A,N/A,16:57:04
observability,N/A,grafana,0.008970858826885093,150601728,0,0,N/A,N/A,16:57:04
observability,N/A,grafana-sc-dashboard,0.0001462241626306377,93528064,0,0,N/A,N/A,16:57:04
kube-system,N/A,hostpath-provisioner,0.0005606135519483878,35696640,0,0,N/A,N/A,16:57:04
observability,N/A,kube-prometheus-stack,0.001873617644022314,66637824,0,0,N/A,N/A,16:57:04
observability,N/A,kube-state-metrics,0.001770744387038638,45314048,0,0,N/A,N/A,16:57:04
observability,N/A,loki,0.0075790511401743746,177233920,0,236173.82159624415,N/A,N/A,16:57:04
kube-system,N/A,metrics-server,0.00938282493790973,57126912,0,0,N/A,N/A,16:57:04
robot-shop1,N/A,mongodb,0.03843552883384051,193908736,0,1754.6265087918664,N/A,N/A,16:57:04
platform,N/A,my-release-clickhouse-metrics-exporter,0.001659354995297514,15933440,N/A,N/A,N/A,N/A,16:57:04
robot-shop1,N/A,mysql,0.001051098028839634,424849408,0,0,N/A,N/A,16:57:04
robot-shop1,N/A,ratings,0.001871202410394248,81850368,0,0,N/A,N/A,16:57:04
observability,N/A,tempo-query,0.0002955502377851289,50716672,0,0,N/A,N/A,16:57:04
robot-shop1,N/A,user,0.19930327868852468,82227200,0,0,N/A,N/A,16:57:04
robot-shop1,N/A,web,0.08682271666407296,16252928,0,N/A,N/A,N/A,16:57:04
platform,N/A,zookeeper,0.005230663646970166,150671360,0,N/A,N/A,N/A,16:57:04
observability,N/A,N/A,0.002310683024572031,45817856,0,0,1920.8275192622702,28891.586977543786,16:57:04
observability,N/A,N/A,0.002310683024572031,45817856,0,0,1920.8275192622702,28891.586977543786,16:57:04
observability,N/A,N/A,0.002310683024572031,45817856,0,0,1920.8275192622702,28891.586977543786,16:57:04
observability,N/A,N/A,0.002310683024572031,45817856,0,0,1920.8275192622702,28891.586977543786,16:57:04
kube-system,N/A,N/A,0.0007960363336086104,57208832,0,0,736.1191132694075,391.097446396971,16:57:04
observability,N/A,N/A,0.002310683024572031,45817856,0,0,1920.8275192622702,28891.586977543786,16:57:04
chaos-testing,N/A,N/A,0,67866624,N/A,N/A,0,0,16:57:04
observability,N/A,N/A,0.002310683024572031,45817856,0,0,1920.8275192622702,28891.586977543786,16:57:04
robot-shop1,N/A,N/A,0.0009338140417457101,36220928,0,0,76.21972023200273,66.80313886045718,16:57:04
platform,N/A,N/A,0,33062912,N/A,N/A,44097.09141274238,662717.7977839336,16:57:04
kube-system,N/A,N/A,0.0007960363336086104,57208832,0,0,736.1191132694075,391.097446396971,16:57:04
chaos-testing,N/A,N/A,0,67866624,N/A,N/A,0,0,16:57:04
robot-shop1,N/A,N/A,0.0009338140417457101,36220928,0,0,76.21972023200273,66.80313886045718,16:57:04
platform,N/A,N/A,0,33062912,N/A,N/A,44097.09141274238,662717.7977839336,16:57:04
